character_id,normalized_name,neutral,disapproval,annoyance,disappointment,approval,realization,anger,desire,sadness,excitement,caring,joy,optimism,curiosity,amusement,confusion,admiration,surprise,disgust,relief,embarrassment,love,fear,gratitude,nervousness,grief,remorse,pride
25,milhouse van houten,-0.04497811588468746,0.07562861133741353,0.0014990874183469522,-0.00436208127422581,0.013856267504687717,0.15634697636951214,-0.03910104717760898,0.06847504922058098,-0.12115068981062821,-0.15476108609803235,0.05896159603796239,-0.021185617293789108,-0.0018778544632540974,0.032461066882147865,-0.07699814533300178,0.14460941429058385,0.06038808965925116,-0.027214790364959454,-0.010781427200748251,0.03675582526179541,0.03483757612275634,0.12861651225884468,0.030528243451623232,0.032526013029753886,-0.039436587524630105,-0.12871771905944684,-0.06698025484387098,0.03680833379573097
139,krusty the clown,-0.16426320692541113,0.13013559841992806,0.14130566086242363,0.013798092782699983,-0.010992340029787374,-0.0043406959318872725,0.11981770176374112,0.0658196672767108,0.027344112166140248,0.010541062715637576,0.05184833462255506,-0.02765536434103258,-0.028780155983607413,0.10012892583146595,-0.03954988397046831,0.13742910119855287,-0.004541911315605655,-0.04693656798087075,0.041838955526361826,-0.03152179513198673,0.03547136164307731,-0.007138252171051167,-0.06656016234347158,0.0427008993307723,-0.07497497557499361,0.034791697122680834,0.03486680521475713,-0.003065759514614078
101,nelson muntz,-0.13577968544051466,0.0037472243578647864,-0.037416349300232805,0.11420082335945116,0.11652981861525666,0.0994743520257683,0.01849294727116663,0.16949433072377326,0.15855216461730073,0.06606486724992588,-0.028862153562916597,0.06269383932183005,0.12566350869583526,0.0040706911435337,0.03196221974757732,-0.08664020894659372,-0.007913730531331944,0.0704889495728867,0.07959979153163166,0.15609508209743833,0.11756906332980509,0.03552891764274448,0.11672259396673955,-0.15599621859659216,0.12281852905711324,0.1539566207634536,0.1259691849259419,0.10657290497581459
165,lenny leonard,-0.13817754018311643,0.0209419454605486,-0.07666742403592337,0.08059973499385552,0.02322156613867511,0.06651092348000512,-0.004641350902131009,0.011917499588223879,0.023220636899121475,0.04640529084692949,-0.021000366483181432,0.03254680391575983,0.10711802203017054,0.04141104366919451,0.10167585726173059,0.09579483263698481,0.02276702882635741,0.10522757532143014,0.06074334656048499,0.08386631425843002,0.011752372285333334,-0.04440476306122749,0.01618919811443007,0.003861158044477453,0.0672765857755248,0.03129683199530839,0.04074085632557757,0.07073693637770587
14,waylon smithers,0.011707497943756213,-0.0008077673072640093,0.027696312129518667,0.013574103339454425,-0.07501504274128032,-0.0035662047578856573,-0.04539582113640592,-0.030787666530932525,-0.02653383174893442,-0.0253874973884104,0.022205007187019794,0.12245344136398902,-0.001911169696847922,0.0006180710966768457,0.10493869294836808,-0.04806649426088837,-0.04705873136926847,-0.09628955441108292,-0.06882372446471262,0.11444361416217516,0.031798548979777845,-0.10993268875051689,0.020068466590131815,-0.00020766668891536777,0.12392575752773567,-0.03762365397411131,0.029729418087379902,0.03459752242812443
208,apu nahasapeemapetilon,0.11069133017160143,-0.06105052431671977,0.07289532424028473,-0.07203197598338976,0.0162827217807548,-0.10565896764137511,0.08371326582571077,-0.1247260787314649,-0.151951904264396,-0.08632041371914788,0.08989788035330439,-0.06672308850235674,-0.04050698929391701,0.03461663017881848,-0.16183433108618747,0.11558944005325006,-0.13878482751442014,-0.07023300257268598,0.09776517643098918,0.006733575224495718,0.10870758008784355,-0.028531661566148968,0.03824797941844788,-0.09915018207670305,0.009563380585827223,-0.10170291818749365,0.02944083441380797,0.004783988283829515
211,kent brockman,0.10465811238019648,-0.0840372856722953,-0.04157177299964159,0.07169733910366673,-0.12695666783120652,-0.1795138023196329,-0.024853516459165725,0.0053278801066106935,0.01300137032198611,-0.0060668919424269946,0.04170605257752753,-0.04988959950045648,-0.07129790572764977,0.045148890419942946,-0.07945619715659157,-0.11386173999804272,-0.05822673114067593,0.031428341383364984,0.026021252252814337,-0.04592791138038245,-0.04217410721901062,0.06127068013632232,-0.12023513736642817,0.07206046541278245,-0.13364629996951727,-0.020484031190020097,0.12112246004706784,-0.050317510958953766
40,edna krabappel-flanders,-0.1618438102088756,-0.0035148005689299958,-0.0855635633990476,0.028807931890929436,0.08618384743152846,-0.16294236242042848,-0.05411002553407935,0.07503333404433644,0.08624874579138024,0.11156444052010904,0.06312421413850583,0.04729518964680017,0.1869326154110705,0.06198922752025086,0.07137143802209249,0.12289614164649058,0.03090363371054688,0.12095254630725054,-0.055010656032606166,-0.0022575286896061838,-0.07302319375585652,-0.0648364611231042,-0.1672679191977022,-0.04498795344899641,-0.09899579946383767,0.055770012380503324,-0.0647576486181437,0.16725477081798384
170,carl carlson,-0.0591809471448191,-0.00270935771047713,-0.026731004417492023,0.022520670744125153,-0.03972494512318882,0.0432371226268448,-0.07500403009514583,0.07701900842211039,0.09244715560054319,0.04915273467180578,-0.15488908013063604,0.021011587050835657,0.03888123169626171,0.10430852085113983,0.004544321809493023,-0.003714264082047773,0.009055793047625925,0.13681104231043392,0.008078680884858427,0.006750854063139931,0.013801430370006872,0.09736525188250644,0.024515319565106126,0.06670952924443417,-0.02091815621790344,0.09407665709192574,0.002519489502007731,-0.04086358161825733
332,dr julius hibbert,0.159264354074668,0.010224403718656289,0.09871988962342952,0.04948470314027784,-0.12171568201903386,-0.08194300547548726,0.13755415923352352,0.0808808201848425,0.04487825370255887,-0.11934792204230633,-0.08077755692947926,-0.18604469392566186,0.053254518949393904,-0.02552671641385562,0.011038515610269197,0.0086880843925171,-0.07285609821058404,-0.03816388619447245,0.17203927943251515,-0.22334437377789448,0.01554167356097315,0.037066333259740195,-0.14758539351775055,-0.13810244327885826,-0.11822798790547356,-0.05876457565464172,0.044406519981062036,0.06049004442282463
